date,rate
01/01/2014,1.657536
02/01/2014,1.656095
03/01/2014,1.643601
04/01/2014,1.641726
05/01/2014,1.641551
06/01/2014,1.641551
07/01/2014,1.641160
08/01/2014,1.641847
09/01/2014,1.646050
10/01/2014,1.646253
11/01/2014,1.646877
12/01/2014,1.648057
13/01/2014,1.648057
14/01/2014,1.637760
15/01/2014,1.644602
16/01/2014,1.637371
17/01/2014,1.633960
18/01/2014,1.642967
19/01/2014,1.642549
20/01/2014,1.642549
21/01/2014,1.641942
22/01/2014,1.646850
23/01/2014,1.657756
24/01/2014,1.661392
25/01/2014,1.648546
26/01/2014,1.648356
27/01/2014,1.648356
28/01/2014,1.658306
29/01/2014,1.657839
30/01/2014,1.655944
31/01/2014,1.648900
01/02/2014,1.645007
02/02/2014,1.643642
03/02/2014,1.643642
04/02/2014,1.630404
05/02/2014,1.630643
06/02/2014,1.630258
07/02/2014,1.634054
08/02/2014,1.639344
09/02/2014,1.641053
10/02/2014,1.641053
11/02/2014,1.641847
12/02/2014,1.646741
13/02/2014,1.657894
14/02/2014,1.663935
15/02/2014,1.673346
16/02/2014,1.674649
17/02/2014,1.674649
18/02/2014,1.670997
19/02/2014,1.669672
20/02/2014,1.671877
21/02/2014,1.664544
22/02/2014,1.662662
23/02/2014,1.661751
24/02/2014,1.661751
25/02/2014,1.663935
26/02/2014,1.669156
27/02/2014,1.664350
28/02/2014,1.668196
01/03/2014,1.674369
02/03/2014,1.674453
03/03/2014,1.674453
04/03/2014,1.671835
05/03/2014,1.665848
06/03/2014,1.672451
07/03/2014,1.673752
08/03/2014,1.672604
09/03/2014,1.671444
10/03/2014,1.671444
11/03/2014,1.664669
12/03/2014,1.662524
13/03/2014,1.662331
14/03/2014,1.665542
15/03/2014,1.662054
16/03/2014,1.664752
17/03/2014,1.664752
18/03/2014,1.664143
19/03/2014,1.657427
20/03/2014,1.663921
21/03/2014,1.651637
22/03/2014,1.648709
23/03/2014,1.648655
24/03/2014,1.648655
25/03/2014,1.649104
26/03/2014,1.651650
27/03/2014,1.655862
28/03/2014,1.661861
29/03/2014,1.663658
30/03/2014,1.664350
